manager,player,pos,nfl,age,draft_pick,draft_round,pre_ecr,ros_ovr,ros_pos,ros_delta,wk3_rank,pts_w1,pts_w2,ep_w1,ep_w2,snap_w1,snap_w2,tgt_car_w1,tgt_car_w2,inj,inj_type,practice,name_value,draft_value,current_value,ppg,ep2,perceived,flags
Jamal,Brock Purdy,QB,SF,27.0,,,96.5,82.33,10.0,,6.32,27.1,32.5,23.5,,1.0,0.85,"(0, 5)","(0, 3)",,,,11.7,5.0,16.0,29.8,23.5,25.6,SELL-HIGH OUTPUT>USAGE
Jamal,Carnell Tate,WR,TEN,21.0,64.0,7.0,68.27,61.0,30.67,,45.46,7.8,5.7,9.0,,0.88,0.75,"(6, 0)","(5, 0)",,,,21.9,24.1,25.8,6.75,9.0,23.9,
Jamal,Jadarian Price,RB,SEA,23.0,57.0,6.0,73.22,74.83,24.2,,24.55,7.8,5.0,7.7,,0.48,0.34,"(2, 10)","(2, 13)",,,,19.6,28.2,19.0,6.4,7.7,20.9,
Jamal,Harold Fannin Jr.,TE,CLE,22.0,77.0,8.0,73.44,99.0,8.2,,13.26,4.1,10.4,3.0,,0.82,0.86,"(3, 0)","(6, 0)",,,,19.6,18.1,11.1,7.25,3.0,16.7,NAME>CURRENT
Jamal,Wan'Dale Robinson,WR,TEN,25.0,97.0,10.0,85.58,80.17,41.83,-8.0,47.95,8.8,1.9,8.3,,0.82,0.53,"(6, 0)","(1, 0)",,,,14.9,11.6,16.8,5.3500000000000005,8.3,15.6,FALLING
Jamal,Kyle Pitts Sr.,TE,ATL,26.0,104.0,11.0,78.91,108.67,10.2,-4.0,16.11,0.0,2.5,1.6,,0.63,0.38,"(1, 0)","(3, 0)",,,,17.3,9.9,8.9,1.25,1.6,10.9,NAME>CURRENT
Jamal,Romeo Doubs,WR,NE,26.0,124.0,13.0,127.35,100.33,51.17,,43.03,0.0,12.6,6.3,,0.56,0.67,"(3, 0)","(4, 0)",,,,5.9,6.4,10.8,6.3,6.3,10.2,NAME<CURRENT
Jamal,Devaughn Vele,WR,NO,29.0,,,248.58,197.33,77.33,13.0,47.87,19.9,11.4,16.0,,0.91,0.96,"(9, 0)","(7, 0)",,,,0.4,5.0,1.2,15.649999999999999,16.0,9.2,SELL-HIGH RISING NAME<CURRENT
Jamal,Kyler Murray,QB,MIN,29.0,,,112.82,126.83,20.6,,32.82,-0.4,,2.9,,0.17,,"(0, 2)",,,,,8.2,5.0,6.0,-0.4,2.9,5.6,
Jamal,San Francisco 49ers,DST,SF,,,,257.6,207.4,12.57,,,,,,,,,,,,,,0.3,5.0,1.0,,,1.2,NAME<CURRENT
Kass,Christian McCaffrey,RB,SF,30.0,7.0,1.0,9.24,11.5,5.0,-1.0,3.45,13.8,22.6,17.4,,0.55,0.52,"(8, 10)","(4, 10)",,,,81.4,85.6,77.4,18.200000000000003,17.4,77.3,AGE
Kass,Drake London,WR,ATL,25.0,14.0,2.0,12.91,20.0,9.83,-3.0,17.72,5.5,8.9,6.3,,0.98,0.62,"(4, 1)","(5, 1)",,,,75.1,73.3,64.1,7.2,6.3,62.8,BUY-LOW
Kass,DeVonta Smith,WR,PHI,24.0,34.0,4.0,24.04,26.67,12.5,,10.62,8.3,27.7,10.4,,0.95,0.88,"(6, 0)","(13, 0)",,,,58.6,47.0,55.3,18.0,10.4,55.8,OUTPUT>USAGE
Kass,Breece Hall,RB,NYJ,25.0,27.0,3.0,39.93,39.67,14.2,,15.11,19.8,14.2,16.2,,0.58,0.65,"(2, 22)","(5, 16)",,,,41.2,54.9,41.4,17.0,16.2,45.7,
Kass,Jaylen Waddle,WR,DEN,28.0,47.0,5.0,34.78,34.17,16.17,,21.8,1.2,21.8,4.0,,0.75,0.61,"(3, 0)","(10, 0)",,,,46.2,35.2,46.8,11.5,4.0,43.6,OUTPUT>USAGE
Kass,Jameson Williams,WR,DET,25.0,54.0,6.0,54.74,53.33,26.17,,23.9,8.5,5.3,19.3,5.8,0.84,0.97,"(9, 0)","(4, 0)",,,,29.6,30.1,30.6,6.9,12.55,29.1,USAGE>OUTPUT
Kass,Jayden Daniels,QB,WAS,26.0,107.0,11.0,53.22,67.67,8.0,,6.25,21.7,16.7,21.6,,1.0,0.55,"(0, 5)","(0, 7)",,,,30.6,9.3,22.2,19.2,21.6,29.1,
Kass,Michael Pittman Jr.,WR,PIT,29.0,74.0,8.0,80.44,79.33,40.83,,36.89,8.8,,4.7,,0.88,,"(3, 0)",,,,,16.7,19.3,17.2,8.8,4.7,19.2,
Kass,Travis Kelce,TE,KC,37.0,87.0,9.0,98.53,118.83,12.2,-2.0,8.65,10.1,25.1,8.0,,0.71,0.85,"(5, 0)","(11, 0)",,,,11.2,14.5,7.1,17.6,8.0,17.2,SELL-HIGH OUTPUT>USAGE AGE
Kass,Chuba Hubbard,RB,CAR,27.0,94.0,10.0,98.94,139.17,36.4,4.0,21.88,23.7,14.4,14.9,,0.71,0.65,"(3, 10)","(2, 12)",,,,11.1,12.4,4.5,19.05,14.9,16.5,SELL-HIGH NAME>CURRENT
Kass,Tony Pollard,RB,TEN,29.0,67.0,7.0,84.99,130.0,34.6,,34.76,4.4,7.5,6.9,,0.52,0.55,"(2, 7)","(1, 14)",,,,15.1,22.6,5.6,5.95,6.9,13.1,AGE NAME>CURRENT
Kass,Jake Ferguson,TE,DAL,27.0,114.0,12.0,118.47,133.33,16.8,,15.74,2.6,20.3,6.0,,0.76,0.6,"(2, 0)","(4, 0)",,,,7.2,7.9,5.2,11.450000000000001,6.0,11.2,OUTPUT>USAGE
Kass,Tre Tucker,WR,LV,25.0,127.0,13.0,162.97,136.67,62.83,,54.88,4.7,22.9,7.1,,0.71,0.59,"(4, 0)","(7, 0)",,,,2.7,5.9,4.8,13.799999999999999,7.1,10.5,SELL-HIGH OUTPUT>USAGE NAME<CURRENT
Kass,Braelon Allen,RB,NYJ,22.0,147.0,15.0,175.43,227.83,56.6,,49.45,4.0,8.5,6.4,,0.4,0.31,"(1, 10)","(1, 5)",,,,2.0,3.8,0.6,6.25,6.4,4.5,NAME>CURRENT
Kass,New England Patriots,DST,NE,,,,186.74,191.5,8.14,,,,,,,,,,,,,,1.6,5.0,1.4,,,1.8,
Kdouh,CeeDee Lamb,WR,DAL,27.0,10.0,1.0,9.0,10.67,5.67,-1.0,6.45,15.4,35.3,16.0,,0.81,0.75,"(8, 1)","(9, 0)",,,,81.9,80.1,78.9,25.349999999999998,16.0,80.8,OUTPUT>USAGE
