player,pos,mean,sd,exp_missed,avail,vor,score
Parker Washington,WR,11.673915667739719,7.828449718814064,3.4,9.201792349865427,0.985564110283196,0.985564110283196
Trevor Lawrence,QB,21.94931718877325,11.163681924779432,2.33,17.927427598006858,0.9422232662571624,0.9422232662571624
DK Metcalf,WR,11.61524586273735,6.505916721028051,3.4,9.15554673886356,0.9393184992813293,0.9393184992813293
DJ Moore,WR,11.347521373983444,8.398484282017447,2.92,9.10471714947848,0.8884889098962496,0.8884889098962496
Quentin Johnston,WR,11.936420686844773,7.623336304417929,4.68,8.959336939067018,0.7431086994847877,0.7431086994847877
Luther Burden III,WR,11.798519754587904,8.129528774488598,4.4,8.952994402010821,0.7367661624285908,0.7367661624285908
Cam Skattebo,RB,12.620675989404688,8.618408454332753,6.89,8.2442709919023,0.684870991902299,0.684870991902299
Rome Odunze,WR,12.685761518430485,9.702807310102045,6.38,8.88749527555924,0.6712670359770101,0.6712670359770101
Dak Prescott,QB,21.57759074133479,11.143320737501169,2.33,17.623814555496093,0.6386102237463973,0.6386102237463973
Tucker Kraft,TE,11.600506378228378,10.701001288264036,5.63,8.314833542277222,0.6121449811286759,0.6121449811286759
Rico Dowdle,RB,11.300796718941651,10.785028429971529,4.52,8.16981127504664,0.6104112750466406,0.6104112750466406
Courtland Sutton,WR,11.536142581568088,7.874885620084381,4.21,8.818363108675134,0.6021348690929038,0.6021348690929038
Alec Pierce,WR,11.26235768557953,8.705488143092484,3.6,8.811138659894574,0.5949104203123436,0.5949104203123436
Michael Pittman Jr.,WR,10.928440384993081,7.646938064657375,2.92,8.76846628537092,0.5522380457886893,0.5522380457886893
Michael Wilson,WR,10.92030625321067,11.244207659161804,2.92,8.761939840811385,0.5457116012291543,0.5457116012291543
Brian Thomas Jr.,WR,11.416559674342755,5.013651692798704,4.2,8.730310339203283,0.5140820996210529,0.5140820996210529
Travis Kelce,TE,10.388445562213962,6.405265526938616,3.11,8.2160382696451,0.5133497084965537,0.5133497084965537
