pos,cat,season,weeks_listed,out_weeks,missed_this,played_next,missed_next,same_cat_next,same_cat_out_next,dppg_next
RB,hamstring,2012,3,1,10,True,1.0,True,True,1.3533333333333326
WR,elbow,2012,1,0,0,True,1.0,False,False,1.8108333333333322
WR,illness,2012,1,0,0,True,1.0,False,False,1.8108333333333322
WR,other,2012,1,0,0,True,1.0,False,False,1.8108333333333322
WR,shoulder,2012,1,0,0,True,1.0,False,False,1.8108333333333322
TE,hip,2012,7,0,5,False,9.0,False,False,
TE,other,2012,6,3,5,False,9.0,False,False,
WR,other,2012,1,0,3,True,1.0,False,False,-1.0610256410256405
WR,toe,2012,4,0,3,True,1.0,False,False,-1.0610256410256405
WR,knee,2012,1,0,0,True,0.0,True,False,4.40625
WR,ribs,2012,1,0,0,True,0.0,False,False,4.40625
WR,shoulder,2012,2,0,0,True,0.0,False,False,4.40625
WR,ankle,2012,1,0,0,True,0.0,True,False,0.9312500000000021
WR,quad,2012,1,0,0,True,0.0,True,False,0.9312500000000021
WR,ankle,2012,4,0,1,True,0.0,False,False,-5.338750000000001
TE,other,2012,2,0,2,False,16.0,False,False,
TE,shoulder,2012,1,0,2,False,16.0,False,False,
TE,ankle,2012,2,0,1,True,0.0,False,False,3.5179166666666646
TE,hand,2012,2,0,1,True,0.0,False,False,3.5179166666666646
WR,hand,2012,1,0,0,False,10.0,False,False,
WR,other,2012,1,0,0,False,10.0,False,False,
TE,ankle,2012,14,3,6,False,16.0,False,False,
TE,knee,2012,1,0,0,False,12.0,False,False,
TE,neck,2012,1,0,0,False,12.0,False,False,
TE,other,2012,1,0,0,False,12.0,False,False,
RB,foot,2012,1,0,3,True,1.0,False,False,-5.795897435897436
RB,other,2012,1,0,3,True,1.0,False,False,-5.795897435897436
RB,quad,2012,2,0,3,True,1.0,False,False,-5.795897435897436
RB,toe,2012,1,0,3,True,1.0,False,False,-5.795897435897436
RB,illness,2012,1,0,10,True,3.0,False,False,0.8897435897435901
RB,knee,2012,4,4,10,True,3.0,True,True,0.8897435897435901
RB,toe,2012,4,1,10,True,3.0,False,False,0.8897435897435901
WR,ankle,2012,5,2,3,True,0.0,False,False,6.834615384615381
WR,illness,2012,1,0,3,True,0.0,False,False,6.834615384615381
QB,knee,2012,1,0,0,False,9.0,False,False,
RB,shoulder,2012,10,0,0,True,1.0,False,False,-5.7737500000000015
RB,neck,2012,1,0,4,True,0.0,False,False,2.866666666666669
RB,shoulder,2012,3,1,4,True,0.0,False,False,2.866666666666669
TE,hamstring,2012,1,0,0,True,2.0,True,False,-2.607142857142856
