ecr_rank,player,pos,team_26,age,draft_year,draft_round,bye,ecr_ovr,ecr_sd,ecr_best,ecr_worst,ecr_pos,ecr_bestball,status_26,g_25,ppgA_25,ppgB_25,top6A_25,floorA_25,ptsA_25,ptsB_25,ppr_25,tgt_25,rec_25,re_yds_25,re_td_25,tgt_share_25,car_25,ru_yds_25,ru_td_25,pass_yds_25,pass_td_25,int_25,ru100_25,re100_25,p300_25,snap_pct_25,g_24,ppgA_24,ppgB_24,ppr_24,tgt_24,tgt_share_24,car_24
448,Reggie Virgil,WR,ARI,22.3,2026.0,5.0,14.0,357.5,13.5,344,371,158.38,275.0,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Gardner Minshew II,QB,ARI,30.3,2019.0,6.0,14.0,357.5,22.5,335,380,53.45,,ACT,4.0,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007,-0.5050000000000001,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.1675,10.0,9.632,11.432,96.32,0.0,0.0,19.0
450,Marquez Valdes-Scantling,WR,DAL,31.9,2018.0,5.0,14.0,357.67,24.73,323,379,145.25,,,9.0,3.5555555555555554,3.5555555555555554,5.0666666666666655,1.6,32.0,32.0,32.0,29.0,14.0,120.0,1.0,0.08734939759036145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,13.0,6.615384615384615,6.653846153846154,84.5,44.0,0.11924119241192412,1.0
451,Noah Whittington,RB,HOU,24.7,,,8.0,359.5,21.5,338,381,122.0,,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Tyrod Taylor,QB,GB,37.1,2011.0,6.0,11.0,360.33,23.47,328,383,46.67,,ACT,6.0,9.91,11.576666666666668,9.91,3.69,59.46,69.46000000000001,59.46,0.0,0.0,0.0,0.0,0.0,27.0,143.0,1.0,779.0,5.0,5.0,0.0,0.0,0.0,0.6699999999999999,2.0,10.030000000000001,13.030000000000001,20.06,0.0,0.0,3.0
453,Cash Jones,RB,ATL,26.4,,,11.0,360.5,22.5,338,383,116.25,,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Tim Patrick,WR,NYJ,32.8,,,13.0,361.0,30.1,323,397,146.8,,ACT,13.0,3.976923076923077,3.976923076923077,7.883333333333334,0.0,51.7,51.7,51.7,24.0,15.0,187.0,3.0,0.060453400503778336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175,15.0,6.16,6.16,92.4,44.0,0.09401709401709402,0.0
455,Xavier Smith,WR,LA,29.0,,,11.0,361.0,42.43,289,397,152.43,,ACT,16.0,3.0187500000000003,3.0187500000000003,6.816666666666666,0.0,48.300000000000004,48.300000000000004,48.3,24.0,18.0,303.0,0.0,0.043875685557586835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214375,14.0,0.4428571428571429,0.4428571428571429,6.2,2.0,0.0044742729306487695,4.0
456,Damien Martinez,RB,GB,22.6,2025.0,7.0,11.0,361.29,20.45,332,394,109.2,357.0,CUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Josh Oliver,TE,MIN,29.5,2019.0,3.0,6.0,361.4,7.66,350,372,63.1,352.0,ACT,12.0,4.583333333333333,4.583333333333333,7.949999999999998,1.475,55.0,55.0,55.0,19.0,15.0,160.0,4.0,0.059006211180124224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,12.0,5.483333333333333,5.483333333333333,65.8,28.0,0.07799442896935933,0.0
458,Daniel Bellinger,TE,TEN,26.0,2022.0,4.0,9.0,361.42,22.22,312,392,56.39,324.0,ACT,13.0,4.584615384615384,4.584615384615384,8.583333333333334,1.6,59.6,59.6,59.6,26.0,19.0,286.0,2.0,0.06372549019607843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499375,12.0,2.2083333333333335,2.2083333333333335,26.5,17.0,0.04239401496259352,0.0
459,Michael Burton,RB,CLE,,,,11.0,362.0,36.0,326,398,138.8,,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Jalen Reagor,WR,MIA,27.7,2020.0,1.0,6.0,363.33,30.14,322,393,142.5,,DEV,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.1,2.1,14.7,12.0,0.057692307692307696,3.0
461,Durham Smythe,TE,BAL,31.1,2018.0,4.0,13.0,363.5,21.5,342,385,72.71,322.0,ACT,7.0,0.9285714285714286,0.9285714285714286,1.0833333333333335,0.0,6.5,6.5,6.5,6.0,4.0,25.0,0.0,0.027906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25411764705882356,14.0,1.0214285714285716,1.0214285714285716,14.3,17.0,0.03571428571428571,0.0
462,Drew Sample,TE,CIN,30.4,2019.0,2.0,6.0,364.33,8.22,355,375,72.4,,ACT,12.0,2.658333333333333,2.658333333333333,4.583333333333333,0.875,31.9,31.9,31.9,20.0,15.0,106.0,1.0,0.046296296296296294,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5358823529411765,11.0,3.3181818181818183,3.3181818181818183,36.5,22.0,0.05392156862745098,1.0
463,Jimmy Horn Jr.,WR,CAR,24.0,2025.0,6.0,5.0,365.25,16.9,346,384,157.33,326.0,ACT,10.0,2.87,2.87,3.7000000000000006,1.8750000000000002,28.7,28.7,28.7,15.0,11.0,108.0,0.0,0.06,8.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,,,,,,,
464,Mitchell Evans,TE,CAR,23.3,2025.0,5.0,5.0,365.47,23.45,305,395,55.2,290.0,ACT,14.0,3.442857142857143,3.442857142857143,6.366666666666667,1.525,48.2,48.2,48.2,25.0,19.0,171.0,2.0,0.06188118811881188,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37411764705882355,,,,,,,
465,Tyson Bagent,QB,CHI,26.3,,,10.0,366.0,19.0,347,385,56.78,354.0,ACT,2.0,1.29,1.29,1.29,1.0450000000000002,2.58,2.58,2.58,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,4.0,-0.06500000000000002,-0.06500000000000002,-0.26,0.0,0.0,6.0
