player,pos,mean,sd,exp_missed,avail,vor,score
Brandon Aiyuk,WR,8.338823529411766,5.00329411764706,3.4,6.572955017301039,-1.6246485612570645,-1.6610666118244712
Skyler Bell,WR,8.338823529411766,5.00329411764706,3.4,6.572955017301039,-1.6246485612570645,-1.6610666118244712
Colbie Young,WR,8.338823529411766,5.00329411764706,3.4,6.572955017301039,-1.6246485612570645,-1.6610666118244712
Cyrus Allen,WR,8.338823529411766,5.00329411764706,3.4,6.572955017301039,-1.6246485612570645,-1.6610666118244712
Daniel Jones,QB,15.557271931282713,7.084911015853629,2.93,12.432090540380921,-1.7192133125187272,-1.6953416766811422
Tyrone Tracy Jr.,RB,8.022308591513733,8.163350152620291,4.82,5.728872135351572,-1.8545278646484284,-1.7020897466141949
Brenen Thompson,WR,8.248823529411766,4.949294117647059,3.4,6.502013840830451,-1.6955897377276523,-1.7347077882950592
Zavion Thomas,WR,8.248823529411766,4.949294117647059,3.4,6.502013840830451,-1.6955897377276523,-1.7347077882950592
Josh Cameron,WR,8.248823529411766,4.949294117647059,3.4,6.502013840830451,-1.6955897377276523,-1.7347077882950592
Michael Woods II,WR,8.248823529411766,4.949294117647059,3.4,6.502013840830451,-1.6955897377276523,-1.7347077882950592
T.J. Hockenson,TE,7.8390110487249895,4.039660523219388,4.21,5.946120439606396,-1.7344785024886678,-1.778283359883371
Jordan Love,QB,16.46546100966858,7.409080143407045,4.65,12.324881844001922,-1.826422008897726,-1.7863419166824703
Chuba Hubbard,RB,8.391294558896645,6.147566301274955,5.87,5.733228605975561,-1.8501713940244393,-1.7985224685574726
Deion Burks,WR,8.158823529411766,4.895294117647059,3.4,6.4310726643598635,-1.7665309141982402,-1.808348964765647
Ted Hurst III,WR,8.158823529411766,4.895294117647059,3.4,6.4310726643598635,-1.7665309141982402,-1.808348964765647
Germie Bernard,WR,8.158823529411766,4.895294117647059,3.4,6.4310726643598635,-1.7665309141982402,-1.808348964765647
Denzel Boston,WR,8.151250000000001,4.890750000000001,3.4,6.425102941176472,-1.7725006373816319,-1.8145458938313916
Pat Freiermuth,TE,7.47490112831664,6.791956026555728,4.01,5.713902362498514,-1.96669657959655,-1.8728866618244364
Zachariah Branch,WR,8.068823529411766,4.84129411764706,3.4,6.360131487889275,-1.8374720906688289,-1.8819901412362356
Malachi Fields,WR,8.068823529411766,4.84129411764706,3.4,6.360131487889275,-1.8374720906688289,-1.8819901412362356
Barion Brown,WR,8.068823529411766,4.84129411764706,3.4,6.360131487889275,-1.8374720906688289,-1.8819901412362356
Antonio Williams,WR,8.068823529411766,4.84129411764706,3.4,6.360131487889275,-1.8374720906688289,-1.8819901412362356
Bryce Lance,WR,8.068823529411766,4.84129411764706,3.4,6.360131487889275,-1.8374720906688289,-1.8819901412362356
Keenan Allen,WR,8.140696114713387,7.060890628708832,4.21,6.222843882982381,-1.974759695575723,-1.9082979205900412
Kenyon Sadiq,TE,7.517012987012987,4.886058441558442,4.01,5.746093162719633,-1.9345057793754306,-1.9359907408531811
Isaiah Likely,TE,7.9521396080800075,4.102872238573924,5.33,5.769978945039229,-1.9106199970558349,-1.9512642686828112
Chris Brazzell II,WR,7.978823529411766,4.787294117647059,3.4,6.289190311418687,-1.9084132671394167,-1.9556313177068236
Elic Ayomanor,WR,8.257260160946425,4.239216712239814,4.2,6.3143754171943245,-1.8832281613637791,-1.9578500822015483
Matthew Golden,WR,7.985749827664103,4.300804933605229,3.4,6.294649864158764,-1.9029537143993398,-1.9744962241688382
Jordan Mason,RB,8.156236388016154,6.084950698239058,5.97,5.548639636906283,-2.034760363093717,-1.9862422177785453
Jerry Jeudy,WR,7.764254730119601,5.216679978683761,2.92,6.229672618754786,-1.9679309598033177,-1.9936797173188894
Omar Cooper Jr.,WR,7.888823529411766,4.73329411764706,3.4,6.218249134948099,-1.9793544436100046,-2.0292724941774116
Malik Benson,WR,7.888823529411766,4.73329411764706,3.4,6.218249134948099,-1.9793544436100046,-2.0292724941774116
Chimere Dike,WR,7.6269298270392945,6.477648220657573,2.92,6.119489578871528,-2.0781139996865754,-2.0408143451034566
Travis Hunter,WR,8.248823529411766,4.949294117647059,4.7,6.186617647058824,-2.0109859314992793,-2.050103982066686
Tyreek Hill,WR,8.31643068303657,4.989858409821942,4.93,6.181064804715709,-2.0165387738423943,-2.053628609801057
Jalen Reagor,WR,7.798823529411766,4.679294117647059,3.4,6.14730795847751,-2.0502956200805933,-2.1029136706480003
Chris Bell,WR,7.798823529411766,4.679294117647059,3.4,6.14730795847751,-2.0502956200805933,-2.1029136706480003
Kevin Coleman Jr.,WR,7.798823529411766,4.679294117647059,3.4,6.14730795847751,-2.0502956200805933,-2.1029136706480003
Caleb Douglas,WR,7.798823529411766,4.679294117647059,3.4,6.14730795847751,-2.0502956200805933,-2.1029136706480003
Reggie Virgil,WR,7.798823529411766,4.679294117647059,3.4,6.14730795847751,-2.0502956200805933,-2.1029136706480003
Tory Horton,WR,8.03026525301173,8.701221178662223,5.08,5.932948916342784,-2.264654662215319,-2.116176359731968
Blake Corum,RB,7.16,7.055489102152184,3.63,5.363682352941176,-2.2197176470588245,-2.122672581547996
Darren Waller,TE,7.3795881768185865,8.907315969346646,5.33,5.354542362415133,-2.326056579679931,-2.126478664768271
Colby Parkinson,TE,7.026475343450136,7.272332032217257,4.01,5.37112041694909,-2.309478525145974,-2.191649807090784
Mitch Tinsley,WR,8.071911764705883,3.865229618017538,4.68,6.0586820069204155,-2.138921571637688,-2.232242847186571
Tyler Allgeier,RB,7.12,5.349876304232485,3.63,5.333717647058823,-2.2496823529411776,-2.2379179273263343
