coach,season,pass_rate,plays,rb_tgt,te_tgt,n
Sean McVay,2025,0.56510831685745,62.529411764705884,0.10339065297632268,0.2586404881269176,17
Sean Payton,2023,0.5363578360610031,56.705882352941174,0.3166659367977826,0.12684615127566445,17
Sean Payton,2024,0.5545331818452214,60.64705882352941,0.19581224356625082,0.13295824017517763,17
Sean Payton,2025,0.5704531410955395,62.88235294117647,0.19127412786599204,0.1908851971870778,17
Shane Steichen,2023,0.5403526072281601,61.94117647058823,0.14944535965508807,0.2269240643506431,17
Shane Steichen,2024,0.5081418141751238,59.35294117647059,0.11711811213708746,0.15747274895582097,17
Shane Steichen,2025,0.5556152526671512,58.1764705882353,0.15084789624212513,0.26493496811047357,17
Todd Bowles,2023,0.569323025451044,59.23529411764706,0.16743605657197022,0.14522246098626448,17
Todd Bowles,2024,0.5404621230232798,62.0,0.21089644433411517,0.185667483827356,17
Todd Bowles,2025,0.5419342567365739,60.588235294117645,0.1645425816467865,0.16324525952314453,17
Zac Taylor,2023,0.6191192019323664,58.705882352941174,0.1528681654810893,0.19929520885454802,17
Zac Taylor,2024,0.6285842063922489,60.705882352941174,0.16204242882997758,0.24017616604421074,17
Zac Taylor,2025,0.626205067311538,60.05882352941177,0.1832835196309039,0.21928799535607926,17
